attempt_id,user_id,session_id,attempted_at_utc,exercise_id,concept,mode,answer_type,difficulty,data_source,is_correct,response_time_ms,attempt_number
00000000-0000-0000-0000-000000000000-0,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:10:42.123172+00:00,real-mss-010,MSS,recognition,level,3,real,1,26155,1
00000000-0000-0000-0000-000000000000-1,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:11:09.588473+00:00,fvg-002,FVG,recognition,zone,1,constructed,1,22465,1
00000000-0000-0000-0000-000000000000-2,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:11:24.907486+00:00,ifvg-005,IFVG,recognition,zone,3,constructed,0,10319,1
00000000-0000-0000-0000-000000000000-3,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:11:37.508865+00:00,real-liq-006,Liquidity,recognition,level,3,real,1,7601,1
00000000-0000-0000-0000-000000000000-4,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:11:54.429362+00:00,fvg-resp-005,FVG,recognition,choice,3,constructed,1,11920,1
00000000-0000-0000-0000-000000000000-5,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:12:20.547783+00:00,fvg-resp-005,FVG,recognition,choice,3,constructed,0,21118,1
00000000-0000-0000-0000-000000000000-6,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:12:34.486348+00:00,liq-004,Liquidity,recognition,level,2,constructed,0,8938,1
00000000-0000-0000-0000-000000000000-7,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:12:52.940999+00:00,liq-001,Liquidity,recognition,level,1,constructed,0,13454,1
00000000-0000-0000-0000-000000000000-8,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:13:13.710955+00:00,real-liq-006,Liquidity,recognition,level,3,real,0,15769,1
00000000-0000-0000-0000-000000000000-9,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-03T13:13:29.594288+00:00,real-fvg-005,FVG,recognition,zone,2,real,1,10883,1
00000000-0000-0000-0000-000000000000-10,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:51:23.952617+00:00,real-liq-002,Liquidity,recognition,level,2,real,0,4667,1
00000000-0000-0000-0000-000000000000-11,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:51:45.446765+00:00,fvg-resp-003,FVG,recognition,choice,2,constructed,1,16494,1
00000000-0000-0000-0000-000000000000-12,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:52:02.422563+00:00,ifvg-resp-003,IFVG,recognition,choice,2,constructed,1,11975,1
00000000-0000-0000-0000-000000000000-13,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:52:24.149428+00:00,real-liq-001,Liquidity,recognition,level,1,real,1,16726,1
00000000-0000-0000-0000-000000000000-14,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:52:34.473827+00:00,real-fvg-005,FVG,recognition,zone,2,real,1,5324,1
00000000-0000-0000-0000-000000000000-15,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:52:47.390866+00:00,real-mss-004,MSS,recognition,level,1,real,0,7917,1
00000000-0000-0000-0000-000000000000-16,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:53:02.380803+00:00,fvg-004,FVG,recognition,zone,2,constructed,0,9989,1
00000000-0000-0000-0000-000000000000-17,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:53:19.539419+00:00,ifvg-001,IFVG,recognition,zone,1,constructed,1,12158,1
00000000-0000-0000-0000-000000000000-18,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:53:33.724249+00:00,real-mss-009,MSS,recognition,level,2,real,0,9184,1
00000000-0000-0000-0000-000000000000-19,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-04T22:53:43.883774+00:00,ifvg-resp-003,IFVG,recognition,choice,2,constructed,1,5159,1
00000000-0000-0000-0000-000000000000-20,00000000-0000-0000-0000-000000000000,s-0-3,2026-09-05T10:52:48.420255+00:00,real-liq-007,Liquidity,recognition,level,1,real,0,4643,1
