attempt_id,user_id,session_id,attempted_at_utc,exercise_id,concept,mode,answer_type,difficulty,data_source,is_correct,response_time_ms,attempt_number
00000000-0000-0000-0000-000000000000-0,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:57:44.547652+00:00,fvg-001,FVG,recognition,zone,1,constructed,1,15648,1
00000000-0000-0000-0000-000000000000-1,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:58:06.055246+00:00,real-liq-005,Liquidity,recognition,level,2,real,0,16507,1
00000000-0000-0000-0000-000000000000-2,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:58:23.442110+00:00,liq-001,Liquidity,recognition,level,1,constructed,0,12386,1
00000000-0000-0000-0000-000000000000-3,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:58:40.395717+00:00,ifvg-002,IFVG,recognition,zone,1,constructed,0,11953,1
00000000-0000-0000-0000-000000000000-4,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:58:53.676211+00:00,ifvg-001,IFVG,recognition,zone,1,constructed,1,8280,1
00000000-0000-0000-0000-000000000000-5,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:59:20.752625+00:00,liq-002,Liquidity,recognition,level,1,constructed,0,22076,1
00000000-0000-0000-0000-000000000000-6,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T21:59:46.252736+00:00,liq-004,Liquidity,recognition,level,2,constructed,0,20500,1
00000000-0000-0000-0000-000000000000-7,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T22:00:09.359439+00:00,real-fvg-005,FVG,recognition,zone,2,real,0,18106,1
00000000-0000-0000-0000-000000000000-8,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T22:00:19.445692+00:00,ifvg-resp-002,IFVG,recognition,choice,2,constructed,0,5086,1
00000000-0000-0000-0000-000000000000-9,00000000-0000-0000-0000-000000000000,s-0-1,2026-09-01T22:00:51.575387+00:00,real-fvg-009,FVG,recognition,zone,3,real,0,27129,1
00000000-0000-0000-0000-000000000000-10,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:42:26.393568+00:00,pd-004,PremiumDiscount,recognition,choice,2,constructed,0,8075,1
00000000-0000-0000-0000-000000000000-11,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:42:45.210542+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,1,13816,1
00000000-0000-0000-0000-000000000000-12,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:43:03.531815+00:00,real-fvg-004,FVG,recognition,zone,3,real,0,13321,1
00000000-0000-0000-0000-000000000000-13,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:43:32.081986+00:00,fvg-resp-003,FVG,recognition,choice,2,constructed,0,23550,1
00000000-0000-0000-0000-000000000000-14,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:43:52.207088+00:00,mss-005,MSS,recognition,level,2,constructed,0,15125,1
00000000-0000-0000-0000-000000000000-15,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:44:19.735990+00:00,fvg-001,FVG,recognition,zone,1,constructed,0,22528,1
00000000-0000-0000-0000-000000000000-16,00000000-0000-0000-0000-000000000000,s-0-2,2026-09-02T18:44:46.774516+00:00,ifvg-resp-001,IFVG,recognition,choice,2,constructed,1,22038,1
